train,Arlington Heights,Ogilvie
602,5:18,6:10
604,5:43,6:35
606,6:10,7:02
608,6:38,7:17
612,6:44,7:37
614,6:58,7:41
616,7:05,7:55
618,7:16,7:56
624,7:33,8:26
626,7:45,8:31
628,8:01,8:36
634,8:05,8:55
